datetime,open,high,low,close,volume,Name
14-06-2018,1324.95,1338.05,1319.5,1332.65,1584229,KOTAKBANK
15-06-2018,1332.6,1344.5,1322.35,1340,1658235,KOTAKBANK
18-06-2018,1340,1341,1311.75,1315.3,1803688,KOTAKBANK
19-06-2018,1315.3,1322.15,1300.2,1303.25,1616945,KOTAKBANK
20-06-2018,1309,1328.4,1299.05,1324.6,1125338,KOTAKBANK
21-06-2018,1332,1332,1311.1,1313.95,915466,KOTAKBANK
22-06-2018,1318.25,1324,1308.45,1321.4,1267210,KOTAKBANK
25-06-2018,1321,1335,1315,1328,1051297,KOTAKBANK
26-06-2018,1322,1342.1,1320.15,1329.85,1637022,KOTAKBANK
27-06-2018,1332,1339.8,1320.1,1324.2,1308470,KOTAKBANK
28-06-2018,1319,1349.9,1312.1,1339.1,4308361,KOTAKBANK
29-06-2018,1336,1360,1335.3,1342.95,2305393,KOTAKBANK
02-07-2018,1348.85,1354.4,1332,1337.95,1301687,KOTAKBANK
03-07-2018,1337,1357,1327.6,1353.15,1487237,KOTAKBANK
04-07-2018,1355.1,1369.9,1346.35,1365.25,1347778,KOTAKBANK
05-07-2018,1373,1377.55,1363.5,1365,1814111,KOTAKBANK
06-07-2018,1358.2,1376.8,1358.2,1371.2,1042184,KOTAKBANK
09-07-2018,1374.9,1387.75,1367.5,1385.1,1875664,KOTAKBANK
10-07-2018,1386.15,1388.6,1366.2,1372.15,1476023,KOTAKBANK
11-07-2018,1371.85,1389.85,1367,1386.95,1447218,KOTAKBANK
12-07-2018,1394.9,1400.5,1382.2,1389.8,1599679,KOTAKBANK
13-07-2018,1385.25,1411.9,1385.25,1404.35,1439199,KOTAKBANK
16-07-2018,1409.8,1417,1398.2,1408.45,1505129,KOTAKBANK
17-07-2018,1408.45,1415.75,1393.2,1400.6,1449255,KOTAKBANK
18-07-2018,1404,1407.95,1392.2,1398.55,1373015,KOTAKBANK
19-07-2018,1408,1408,1333.85,1347.4,6013280,KOTAKBANK
